ID	Entry	Vocalized	Gender
AGN000001	إبتداء	إِبْتِداء	F
AGN000002	إبتداع	إِبْتِداع	M
AGN000003	إبتساط	إِبْتِساط	M
AGN000004	إبتسامة	إِبْتِسامة	F
AGN000005	إبتغاء	إِبْتِغاء	F
AGN000006	إبتكار	إِبْتِكار	F
AGN000007	أبجاد	أَبْجاد	M
AGN000008	أبحار	أَبْحار	M
AGN000009	أبراج	أَبْراج	F
AGN000010	أبراق	أَبْراق	F
AGN000011	أبراك	أَبْراك	M
AGN000012	أبرص	أَبْرَص	M
AGN000013	أبركة	أَبْرَكة	M
AGN000014	أبسام	أَبْسام	F
AGN000028	أجهار	أَجْهار	M
AGN000029	أحباب	أَحْباب	F
AGN000030	أحداث	أَحْداث	M
AGN000031	أحداق	أَحْداق	F
AGN000047	أذهبة	أَذْهَبة	F
AGN000048	أرباب	أَرْباب	M
AGN000049	أرباح	أَرْباح	F
AGN000059	أردانة	أَرْدانة	F
AGN000060	أرغد	أَرْغَد	M
AGN000061	أرفاعي	أَرْفاعي	M
AGN000062	أزرق	أَزْرَق	M
AGN000063	أزرم	أَزْرَم	M
AGN000064	أزعام	أَزْعام	M
AGN000065	أزلات	أَزْلات	F
AGN000066	أزمام	أَزْمام	M
AGN000067	أزمر	أَزْمَر	M
AGN000068	أزهري	أَزْهَري	M
AGN000069	أزهرية	أَزْهَرية	M
AGN000082	أشجرة	أَشْجَرة	M
AGN000083	أشحادة	أَشْحادة	M
AGN000084	أشراح	أَشْراح	F
AGN000085	أشراف	أَشْراف	F
AGN000086	أشرفي	أَشْرَفي	M
AGN000087	أشرقة	أَشْرَقة	M
AGN000088	أشطر	أَشْطَر	M
AGN000089	أشعاع	أَشْعاع	F
AGN000093	أشفاقة	أَشْفاقة	M
AGN000094	أشقاك	أَشْقاك	M
AGN000095	أشقر	أَشْقَر	M
AGN000096	أشلاش	أَشْلاش	M
AGN000097	أشلش	أَشْلَش	M
AGN000098	أشهاب	أَشْهاب	M
AGN000099	أشهاد	أَشْهاد	F
AGN000100	أصباح	أَصْباح	F
AGN000101	أصداء	أَصْداء	F
AGN000102	أصغر	أَصْغَر	M
AGN000103	أظهر	أَظْهَر	M
AGN000104	أعبد	أَعْبَد	M
AGN000105	إعتاب	إِعْتاب	M
AGN000106	إعتاق	إِعْتاق	M
AGN000107	إعتبار	إِعْتِبار	F
AGN000108	إعتذار	إِعْتِذار	F
AGN000109	إعتراف	إِعْتِراف	F
AGN000110	إعتصام	إِعْتِصام	F
AGN000111	إعتقاد	إِعْتِقاد	M
AGN000112	إعجار	إِعْجار	M
AGN000113	أعجمي	أَعْجَمي	M
AGN000114	أعذر	أَعْذَر	M
AGN000115	أعراب	أَعْراب	M
AGN000116	أعراق	أَعْراق	F
AGN000117	أعقاب	أَعْقاب	M
AGN000118	أعلاج	أَعْلاج	M
AGN000119	أعمار	أَعْمار	M
AGN000127	أغزالة	أَغْزالة	F
AGN000128	أغنار	أَغْنار	F
AGN000129	أفتاب	أَفْتاب	F
AGN000130	إفتراج	إِفْتِراج	F
AGN000131	إفتراق	إِفْتِراق	F
AGN000132	إفتهام	إِفْتِهام	F
AGN000133	أفراج	أَفْراج	F
AGN000134	أفراز	أَفْراز	M
AGN000135	أفراق	أَفْراق	M
AGN000136	أفرام	أَفْرام	M
AGN000137	أفرح	أَفْرَح	F
AGN000138	أفرس	أَفْرَس	M
AGN000139	أفسار	أَفْسار	M
AGN000140	أفسانة	أَفْسانة	F
AGN000141	أفهام	أَفْهام	F
AGN000142	أفهم	أَفْهَم	M
AGN002422	بليهد	بُلَيْهِد	M
AGN002423	بليهي	بَلِيهي	M
AGN002423-1	بليهي	بُلَيْهي	M
AGN002423-2	بليهي	بُلَيّهي	M
AGN002424	بليهيد	بُلَيْهِيد	M
AGN002425	بليهين	بُلَيْهِين	M
AGN002426	بمبار	بَمْبار	M
AGN002427	بمباري	بَمْباري	M
AGN002428	بمبارية	بَمْبارية	F
AGN002429	بنا	بِنَّا	F
AGN002430	بن القاسم	بِن القاسِم	M
AGN002431	بن أحمد	بِن أَحْمَد	M
AGN002432	بن أعمر	بِن أَعْمَر	M
AGN002433	بن بادي	بِن بادي	M
AGN002434	بن باز	بِن باز	M
AGN002437	بن دحمان	بِن دَحْمان	M
AGN002438	بن زين	بِن زَيْن	M
AGN002441	بن صالح	بِن صالِح	M
AGN002442	بن عامر	بِن عامِر	M
AGN002443	بن عفان	بِن عَفان	M
AGN002449	بناد	بَناد	M
